Entity,Code,Year,"Air pollution (total) (IHME, 2019)",Continent
Afghanistan,AFG,2016,10.29,Asia
Albania,ALB,2016,7.57,Europe
Algeria,DZA,2016,7.81,Africa
Andorra,AND,2016,4.16,Europe
Angola,AGO,2016,5.86,Africa
Antigua and Barbuda,ATG,2016,5.55,North America
Argentina,ARG,2016,5.18,South America
Armenia,ARM,2016,9.22,Asia
Australia,AUS,2016,2.84,Oceania
Austria,AUT,2016,4.32,Europe
Azerbaijan,AZE,2016,8.43,Asia
Bahamas,BHS,2016,4.45,North America
Bahrain,BHR,2016,12.09,Asia
Bangladesh,BGD,2016,13.8,Asia
Barbados,BRB,2016,6.19,North America
Belarus,BLR,2016,6.85,Europe
Belgium,BEL,2016,4.55,Europe
Belize,BLZ,2016,5.82,North America
Benin,BEN,2016,7.69,Africa
Bhutan,BTN,2016,9.59,Asia
Bolivia,BOL,2016,6.4,South America
Bosnia and Herzegovina,BIH,2016,9.15,Europe
Botswana,BWA,2016,5.59,Africa
Brazil,BRA,2016,4.88,South America
Brunei,BRN,2016,2.78,Asia
Bulgaria,BGR,2016,7.18,Europe
Burkina Faso,BFA,2016,8.38,Africa
Burundi,BDI,2016,7.92,Africa
Cambodia,KHM,2016,10.55,Asia
Cameroon,CMR,2016,6.94,Africa
Canada,CAN,2016,2.86,North America
Central African Republic,CAF,2016,7.43,Africa
Chad,TCD,2016,9.83,Africa
Chile,CHL,2016,5.0,South America
China,CHN,2016,11.93,Asia
Colombia,COL,2016,5.11,South America
Comoros,COM,2016,8.89,Africa
Costa Rica,CRI,2016,4.4,North America
Croatia,HRV,2016,6.03,Europe
Cuba,CUB,2016,6.16,North America
Cyprus,CYP,2016,6.4,Asia
Denmark,DNK,2016,4.37,Europe
Djibouti,DJI,2016,6.45,Africa
Dominica,DMA,2016,5.24,North America
Dominican Republic,DOM,2016,5.0,North America
Ecuador,ECU,2016,4.38,South America
Egypt,EGY,2016,12.16,Africa
El Salvador,SLV,2016,6.44,North America
Equatorial Guinea,GNQ,2016,4.54,Africa
Eritrea,ERI,2016,7.59,Africa
