Entity,Code,Year,"Air pollution (total) (IHME, 2019)",Continent
Afghanistan,AFG,1990,13.56,Asia
Albania,ALB,1990,11.67,Europe
Algeria,DZA,1990,6.75,Africa
Andorra,AND,1990,5.61,Europe
Angola,AGO,1990,8.89,Africa
Antigua and Barbuda,ATG,1990,6.38,North America
Argentina,ARG,1990,5.64,South America
Armenia,ARM,1990,11.06,Asia
Australia,AUS,1990,4.44,Oceania
Austria,AUT,1990,5.35,Europe
Azerbaijan,AZE,1990,11.02,Asia
Bahamas,BHS,1990,5.17,North America
Bahrain,BHR,1990,11.19,Asia
Bangladesh,BGD,1990,11.34,Asia
Barbados,BRB,1990,6.96,North America
Belarus,BLR,1990,8.28,Europe
Belgium,BEL,1990,6.21,Europe
Belize,BLZ,1990,7.71,North America
Benin,BEN,1990,9.65,Africa
Bhutan,BTN,1990,11.06,Asia
Bolivia,BOL,1990,9.98,South America
Bosnia and Herzegovina,BIH,1990,11.75,Europe
Botswana,BWA,1990,7.19,Africa
Brazil,BRA,1990,6.92,South America
Brunei,BRN,1990,4.03,Asia
Bulgaria,BGR,1990,9.73,Europe
Burkina Faso,BFA,1990,8.59,Africa
Burundi,BDI,1990,8.24,Africa
Cambodia,KHM,1990,14.83,Asia
Cameroon,CMR,1990,8.14,Africa
Canada,CAN,1990,4.11,North America
Central African Republic,CAF,1990,8.39,Africa
Chad,TCD,1990,9.48,Africa
Chile,CHL,1990,6.86,South America
China,CHN,1990,16.18,Asia
Colombia,COL,1990,5.61,South America
Comoros,COM,1990,10.78,Africa
Costa Rica,CRI,1990,5.98,North America
Croatia,HRV,1990,7.24,Europe
Cuba,CUB,1990,7.34,North America
Cyprus,CYP,1990,7.59,Asia
Denmark,DNK,1990,5.77,Europe
Djibouti,DJI,1990,9.14,Africa
Dominica,DMA,1990,7.13,North America
Dominican Republic,DOM,1990,5.28,North America
Ecuador,ECU,1990,5.49,South America
Egypt,EGY,1990,11.28,Africa
El Salvador,SLV,1990,6.86,North America
Equatorial Guinea,GNQ,1990,9.82,Africa
Eritrea,ERI,1990,5.15,Africa
Estonia,EST,1990,5.82,Europe
Ethiopia,ETH,1990,5.78,Africa
Fiji,FJI,1990,9.62,Oceania
Finland,FIN,1990,3.92,Europe
France,FRA,1990,4.41,Europe
Gabon,GAB,1990,7.48,Africa
