Entity,Code,Year,"Air pollution (total) (IHME, 2019)",Continent
Afghanistan,AFG,2010,11.94,Asia
Albania,ALB,2010,8.01,Europe
Algeria,DZA,2010,7.14,Africa
Andorra,AND,2010,4.74,Europe
Angola,AGO,2010,6.64,Africa
Antigua and Barbuda,ATG,2010,6.08,North America
Argentina,ARG,2010,5.83,South America
Armenia,ARM,2010,10.2,Asia
Australia,AUS,2010,3.46,Oceania
Austria,AUT,2010,4.88,Europe
Azerbaijan,AZE,2010,9.04,Asia
Bahamas,BHS,2010,4.72,North America
Bahrain,BHR,2010,11.14,Asia
Bangladesh,BGD,2010,13.91,Asia
Barbados,BRB,2010,6.48,North America
Belarus,BLR,2010,7.66,Europe
Belgium,BEL,2010,5.28,Europe
Belize,BLZ,2010,6.26,North America
Benin,BEN,2010,7.62,Africa
Bhutan,BTN,2010,10.16,Asia
Bolivia,BOL,2010,7.38,South America
Bosnia and Herzegovina,BIH,2010,9.65,Europe
Botswana,BWA,2010,4.11,Africa
Brazil,BRA,2010,5.57,South America
Brunei,BRN,2010,3.8,Asia
Bulgaria,BGR,2010,7.83,Europe
Burkina Faso,BFA,2010,7.72,Africa
Burundi,BDI,2010,7.52,Africa
Cambodia,KHM,2010,10.85,Asia
Cameroon,CMR,2010,6.89,Africa
Canada,CAN,2010,3.66,North America
Central African Republic,CAF,2010,7.07,Africa
Chad,TCD,2010,9.45,Africa
Chile,CHL,2010,5.49,South America
China,CHN,2010,13.37,Asia
Colombia,COL,2010,5.71,South America
Comoros,COM,2010,9.31,Africa
Costa Rica,CRI,2010,4.6,North America
Croatia,HRV,2010,6.7,Europe
Cuba,CUB,2010,6.77,North America
Cyprus,CYP,2010,6.96,Asia
Denmark,DNK,2010,4.87,Europe
Djibouti,DJI,2010,6.01,Africa
Dominica,DMA,2010,5.7,North America
Dominican Republic,DOM,2010,5.14,North America
Ecuador,ECU,2010,4.89,South America
Egypt,EGY,2010,11.63,Africa
